Crop,Davangere,Hubli,Belagavi,Bengaluru,Mysuru,Mangaluru,Shivamogga,Vijayapura,Ballari,Kalaburagi
Tomato,2200,2400,2100,2600,2300,2500,2250,2150,2350,2450
Onion,1800,1700,1900,2000,1750,1850,1780,1880,1920,1810
Rice,3500,3600,3400,3700,3550,3650,3450,3520,3580,3620
Wheat,2800,2900,2750,3000,2850,2950,2780,2880,2920,2860
Potato,1600,1500,1700,1800,1650,1750,1580,1680,1720,1660
Maize,2100,2200,2050,2300,2150,2250,2080,2180,2220,2160
Cotton,5200,5400,5100,5600,5300,5500,5250,5150,5350,5450
Sugarcane,3000,3200,2900,3400,3100,3300,3050,2950,3150,3250
Groundnut,4200,4400,4100,4600,4300,4500,4250,4150,4350,4450
Chilli,6000,6200,5900,6500,6100,6400,6050,5950,6150,6250